TKE GLP-1 Kidney Protection Clinic - Financial Pro Forma (TN Locality 35 GPCI-Adjusted)
,,,,
ASSUMPTIONS,,,,
Parameter,Value,Source,Notes,
Conversion Factor (CMS 2025),$32.3465,CMS 2025 PFS,,
TN Locality 35 Work GPCI,0.964,CMS,,
TN Locality 35 PE GPCI,0.896,CMS,,
TN Locality 35 MP GPCI,0.544,CMS,,
,,,,
PAYER MIX,,,,
Medicare FFS,45%,TKE actual,,
Medicare Advantage,25%,TKE actual,,
Commercial,20%,TKE actual,,
TennCare/Other,10%,TKE actual,,
,,,,
REIMBURSEMENT RATES (APP BILLING - 85% of Physician for Medicare),,,,
Code,Medicare TN-35 APP,Medicare Adv APP,Commercial,TennCare
99213 (Low complexity),$63,$65,$95,$50
99214 (Moderate complexity),$86,$90,$135,$70
99215 (High complexity),$129,$135,$165,$100
G2211 (Complex care add-on),$13,$13,$20,$0
99453 (RPM initial setup),$19,$19,$20,$15
99454 (RPM device/data monthly),$55,$55,$60,$45
99457 (RPM management 20min),$48,$48,$55,$40
99458 (RPM addl 20min),$38,$38,$45,$32
99490 (CCM 20min monthly),$40,$40,$45,$35
G0447 (IBT obesity - Medicare),$25,$25,$0,$0
,,,,
VISIT CODING MIX,,,,
99214,60%,Initiation + titration + complex follow-up,,
99213,30%,Stable maintenance,,
99215,10%,Complex decompensation / dialysis planning,,
,,,,
BLENDED E/M RATE CALCULATION,,,,
Code,Rate (weighted by payer mix),Weight,Contribution,
99213 blended,$71,30%,$21.30,
99214 blended,$93,60%,$55.80,
99215 blended,$137,10%,$13.70,
G2211 blended,$13,100%,$13.00,
BLENDED PER VISIT,,,$103.80,
Rounded for modeling,,,$96.00,Conservative adjustment
,,,,
===== 3-YEAR PROJECTION: CONSERVATIVE MODEL =====,,,,
,,,,
VOLUME,Year 1 (Pilot),Year 2 (Scale),Year 3 (Mature),
Active Patients,180,350,550,
Visits per Patient (avg),6,4,4,
Total Visits,1080,1400,2200,
,,,,
REVENUE,Year 1,Year 2,Year 3,
E/M Visits (@$96 blended),"$103,680","$134,400","$211,200",
G0447/Counseling add-ons,"$9,000","$17,500","$27,500",
RPM (30% enrolled x $800/yr),"$43,200","$84,000","$132,000",
CCM (15% enrolled x $400/yr),"$10,800","$21,000","$33,000",
TOTAL REVENUE,"$166,680","$256,900","$403,700",
,,,,
EXPENSES,Year 1,Year 2,Year 3,
APP Salary + Benefits (0.6 FTE Y1 -> 1.0),"$85,000","$135,000","$145,000",
PA Coordinator (0.5 FTE Y1 -> 0.8),"$28,000","$45,000","$50,000",
MA Support Allocation,"$18,000","$32,000","$42,000",
Physician Oversight Time,"$15,000","$20,000","$25,000",
IT/EHR Templates/Training,"$12,000","$6,000","$4,000",
Marketing (Internal + External),"$10,000","$15,000","$20,000",
RPM Platform + Devices,"$8,000","$12,000","$15,000",
Variable Admin (PA supplies etc),"$8,000","$16,000","$27,000",
TOTAL EXPENSES,"$184,000","$281,000","$328,000",
,,,,
NET CONTRIBUTION,"($17,320)","($24,100)","$75,700",
NET MARGIN,-10.4%,-9.4%,18.8%,
,,,,
===== 3-YEAR PROJECTION: STRONG EXECUTION MODEL =====,,,,
,,,,
VOLUME,Year 1 (Pilot),Year 2 (Scale),Year 3 (Mature),
Active Patients,200,450,800,
Visits per Patient (avg),6,4,4,
Total Visits,1200,1800,3200,
,,,,
REVENUE,Year 1,Year 2,Year 3,
E/M Visits (@$96 blended),"$115,200","$172,800","$307,200",
G0447/Counseling add-ons,"$10,000","$22,500","$40,000",
RPM (50% enrolled x $1000/yr),"$100,000","$225,000","$400,000",
CCM (30% enrolled x $500/yr),"$30,000","$67,500","$120,000",
RPM/CCM Subtotal,"$130,000","$292,500","$520,000",
RPM/CCM as % of Total Revenue,58%,60%,60%,
TOTAL REVENUE,"$225,200","$465,300","$923,200",
,,,,
EXPENSES,Year 1,Year 2,Year 3,
Staffing (APP + PA Coord + MA),"$131,000","$212,000","$270,000",
Physician/IT/Marketing/Admin,"$53,000","$69,000","$92,000",
TOTAL EXPENSES,"$184,000","$281,000","$362,000",
,,,,
NET CONTRIBUTION,"$41,200","$184,300","$561,200",
NET MARGIN,18.3%,39.6%,60.8%,
,,,,
===== BREAK-EVEN ANALYSIS =====,,,,
Scenario,Break-even Patients,Break-even Timing,,
Conservative (E/M only),~300 patients,Late Year 2 / Early Year 3,,
Strong Execution (with RPM/CCM),~200 patients,Late Year 1,,
With Buy-and-Bill Dispensing,~120 patients,Early Year 1,,
,,,,
===== KEY INSIGHT FOR LOW-GPCI MARKETS =====,,,,
"In TN Locality 35 (West Tennessee), E/M reimbursement is 15-20% below national Medicare averages.",,,,
"RPM/CCM is NOT optional -- it is the financial engine that makes the clinic viable.",,,,
"In the Strong Execution model, RPM/CCM generates 58-60% of total revenue.",,,,
"Recommendation: Build RPM/CCM infrastructure from Day 1, not as a Phase 2 afterthought.",,,,
